layer,src0_name,n_tokens,top_k,n_expert,ids
0,"blk.0.ffn_gate_exps.weight",2,8,232,208 9 229 0 31 131 222 220; 6 3 5 0 7 152 31 9
0,"blk.0.ffn_up_exps.weight",2,8,232,208 9 229 0 31 131 222 220; 6 3 5 0 7 152 31 9
0,"blk.0.ffn_down_exps.weight",2,8,232,208 9 229 0 31 131 222 220; 6 3 5 0 7 152 31 9
1,"blk.1.ffn_gate_exps.weight",2,8,232,190 183 53 77 135 163 157 95; 29 111 157 103 4 95 168 90
1,"blk.1.ffn_up_exps.weight",2,8,232,190 183 53 77 135 163 157 95; 29 111 157 103 4 95 168 90
1,"blk.1.ffn_down_exps.weight",2,8,232,190 183 53 77 135 163 157 95; 29 111 157 103 4 95 168 90
2,"blk.2.ffn_gate_exps.weight",2,8,232,0 208 1 16 107 229 87 114; 208 19 145 11 201 157 188 38
2,"blk.2.ffn_up_exps.weight",2,8,232,0 208 1 16 107 229 87 114; 208 19 145 11 201 157 188 38
2,"blk.2.ffn_down_exps.weight",2,8,232,0 208 1 16 107 229 87 114; 208 19 145 11 201 157 188 38
3,"blk.3.ffn_gate_exps.weight",2,8,232,97 168 122 93 73 214 130 148; 71 8 39 226 105 1 0 162
3,"blk.3.ffn_up_exps.weight",2,8,232,97 168 122 93 73 214 130 148; 71 8 39 226 105 1 0 162
3,"blk.3.ffn_down_exps.weight",2,8,232,97 168 122 93 73 214 130 148; 71 8 39 226 105 1 0 162
4,"blk.4.ffn_gate_exps.weight",2,8,232,114 3 209 201 190 107 129 157; 84 107 8 154 129 136 216 188
4,"blk.4.ffn_up_exps.weight",2,8,232,114 3 209 201 190 107 129 157; 84 107 8 154 129 136 216 188
4,"blk.4.ffn_down_exps.weight",2,8,232,114 3 209 201 190 107 129 157; 84 107 8 154 129 136 216 188
5,"blk.5.ffn_gate_exps.weight",2,8,232,161 15 19 57 184 125 204 107; 199 17 8 155 4 184 186 198
5,"blk.5.ffn_up_exps.weight",2,8,232,161 15 19 57 184 125 204 107; 199 17 8 155 4 184 186 198
5,"blk.5.ffn_down_exps.weight",2,8,232,161 15 19 57 184 125 204 107; 199 17 8 155 4 184 186 198
6,"blk.6.ffn_gate_exps.weight",2,8,232,111 40 41 93 11 32 25 42; 2 40 11 50 25 0 145 183
6,"blk.6.ffn_up_exps.weight",2,8,232,111 40 41 93 11 32 25 42; 2 40 11 50 25 0 145 183
6,"blk.6.ffn_down_exps.weight",2,8,232,111 40 41 93 11 32 25 42; 2 40 11 50 25 0 145 183
7,"blk.7.ffn_gate_exps.weight",2,8,232,223 33 58 0 116 45 231 42; 26 164 184 2 78 136 9 224
7,"blk.7.ffn_up_exps.weight",2,8,232,223 33 58 0 116 45 231 42; 26 164 184 2 78 136 9 224
7,"blk.7.ffn_down_exps.weight",2,8,232,223 33 58 0 116 45 231 42; 26 164 184 2 78 136 9 224
8,"blk.8.ffn_gate_exps.weight",2,8,232,88 19 222 152 177 89 181 198; 56 1 26 2 91 15 52 8
8,"blk.8.ffn_up_exps.weight",2,8,232,88 19 222 152 177 89 181 198; 56 1 26 2 91 15 52 8
8,"blk.8.ffn_down_exps.weight",2,8,232,88 19 222 152 177 89 181 198; 56 1 26 2 91 15 52 8
9,"blk.9.ffn_gate_exps.weight",2,8,232,192 52 161 74 42 189 231 122; 226 108 141 48 185 154 1 8
9,"blk.9.ffn_up_exps.weight",2,8,232,192 52 161 74 42 189 231 122; 226 108 141 48 185 154 1 8
9,"blk.9.ffn_down_exps.weight",2,8,232,192 52 161 74 42 189 231 122; 226 108 141 48 185 154 1 8
10,"blk.10.ffn_gate_exps.weight",2,8,232,202 88 121 131 216 191 196 91; 216 44 89 109 201 168 139 11
10,"blk.10.ffn_up_exps.weight",2,8,232,202 88 121 131 216 191 196 91; 216 44 89 109 201 168 139 11
10,"blk.10.ffn_down_exps.weight",2,8,232,202 88 121 131 216 191 196 91; 216 44 89 109 201 168 139 11
11,"blk.11.ffn_gate_exps.weight",2,8,232,231 135 206 222 174 95 230 158; 145 28 16 9 211 217 72 2
11,"blk.11.ffn_up_exps.weight",2,8,232,231 135 206 222 174 95 230 158; 145 28 16 9 211 217 72 2
11,"blk.11.ffn_down_exps.weight",2,8,232,231 135 206 222 174 95 230 158; 145 28 16 9 211 217 72 2
12,"blk.12.ffn_gate_exps.weight",2,8,232,35 26 33 13 199 56 6 175; 43 0 17 154 209 22 25 14
12,"blk.12.ffn_up_exps.weight",2,8,232,35 26 33 13 199 56 6 175; 43 0 17 154 209 22 25 14
